,Cultivo,Departamento,Alta [ha],Media [ha],Baja [ha],Muy baja [ha],Total aptitud [ha],Área departamento [ha]
0,Aguacate ,Antioquia,275.83799999999997,251.051,167.46900000000002,0.0,694.3580000000001,6.296.299
1,Aguacate ,Cauca,160.441,195.942,113.245,0.0,469.62800000000004,3.125.130
2,Aguacate ,Boyacá,130.341,104.62200000000001,126.27,0.0,361.233,2.317.531
3,Aguacate ,Santander,95.35700000000001,153.81799999999998,80.125,0.0,329.3,3.054.326
4,Aguacate ,Cundinamarca,171.18099999999998,92.777,30.910999999999998,0.0,294.869,2.236.783
5,Aguacate ,Huila,90.81200000000001,97.48200000000001,58.958,0.0,247.252,1.813.533
6,Aguacate ,Nariño,66.068,76.089,42.051,0.0,184.208,3.149.751
7,Aguacate ,Tolima,28.51,54.446000000000005,91.223,0.0,174.179,2.415.020
8,Aguacate ,Caldas,67.362,44.495,8.152000000000001,0.0,120.009,743.890
9,Aguacate ,Norte de Santander,27.552,35.824,33.22,0.0,96.596,2.182.705
10,Aguacate ,Valle del Cauca,41.731,44.3,9.584,0.0,95.615,2.076.805
11,Aguacate ,Risaralda,22.724,31.179000000000002,7.346,0.0,61.248999999999995,356.035
12,Aguacate ,Quindío,12.457,10.591,712.0,0.0,23.76,193.217
13,Aguacate ,Cesar,1.6580000000000001,5.849,4.628,0.0,12.135,2.256.550
14,Aguacate ,Magdalena,884.0,4.404,3.2060000000000004,0.0,8.494,2.314.438
15,Aguacate ,Putumayo,5.1080000000000005,3.307,29.0,0.0,8.443999999999999,2.584.632
16,Aguacate ,Casanare,614.0,2.3569999999999998,2.946,0.0,5.917000000000001,4.434.139
17,Aguacate ,Meta,399.0,2.386,716.0,0.0,3.5010000000000003,8.555.025
18,Aguacate ,Bolívar,0.0,0.0,2.955,0.0,2.955,2.665.496
19,Aguacate ,La Guajira,0.0,266.0,1.501,0.0,1.767,2.061.936
20,Aguacate ,Caquetá,0.0,0.0,233.0,0.0,233.0,9.010.823
21,Aguacate ,Chocó,0.0,2.0,1.0,0.0,3.0,4.824.344
22,Aguacate ,Amazonas,0.0,0.0,0.0,0.0,0.0,10.903.686
23,Aguacate ,Guainía,0.0,0.0,0.0,0.0,0.0,7.140.386
24,Aguacate ,Guaviare,0.0,0.0,0.0,0.0,0.0,5.557.912
25,Aguacate ,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
26,Aguacate ,Vichada,0.0,0.0,0.0,0.0,0.0,10.008.757
27,Aguacate ,Córdoba,0.0,0.0,0.0,0.0,0.0,2.499.858
28,Aguacate ,Sucre,0.0,0.0,0.0,0.0,0.0,1.071.860
29,Aguacate ,Atlántico,0.0,0.0,0.0,0.0,0.0,331.159
30,Aguacate ,Arauca,0.0,0.0,0.0,0.0,0.0,2.383.135
31,Aguacate ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
0,Ají tabasco ,Vichada,911.548,1.326.254,72.21,0.0,2.310.012,10.008.757
1,Ají tabasco ,Meta,450.746,1.587.968,86.699,0.0,2.125.413,8.555.025
2,Ají tabasco ,Córdoba,736.5419999999999,297.175,242.07299999999998,0.0,1.275.790,2.499.858
3,Ají tabasco ,Antioquia,502.49699999999996,299.976,177.827,0.0,980.300,6.296.299
4,Ají tabasco ,Santander,325.885,280.214,140.121,0.0,746.220,3.054.326
5,Ají tabasco ,Cesar,469.369,165.991,48.375,0.0,683.735,2.256.550
6,Ají tabasco ,Tolima,298.59,168.865,115.479,0.0,582.934,2.415.020
7,Ají tabasco ,Bolívar,125.76700000000001,243.540,172.454,0.0,541.761,2.665.496
8,Ají tabasco ,Huila,192.981,217.940,102.985,0.0,513.906,1.813.533
9,Ají tabasco ,Cauca,278.85400000000004,147.512,69.208,0.0,495.574,3.125.130
10,Ají tabasco ,Magdalena,235.532,132.519,89.21799999999999,0.0,457.269,2.314.438
11,Ají tabasco ,Valle del Cauca,291.784,74.032,7.847,0.0,373.663,2.076.805
12,Ají tabasco ,Cundinamarca,207.826,91.110,63.29600000000001,0.0,362.232,2.236.783
13,Ají tabasco ,Sucre,279.97,19.710,12.55,0.0,312.230,1.071.860
14,Ají tabasco ,Caquetá,196.32299999999998,80.952,25.826,0.0,303.101,9.010.823
15,Ají tabasco ,Casanare,173.965,41.057,12.907,0.0,227.929,4.434.139
16,Ají tabasco ,La Guajira,166.33,34.286,8.708,0.0,209.324,2.061.936
17,Ají tabasco ,Arauca,81.38600000000001,72.083,48.351000000000006,0.0,201.820,2.383.135
18,Ají tabasco ,Norte de Santander,102.056,70.978,27.35,0.0,200.384,2.182.705
19,Ají tabasco ,Caldas,84.441,53.699,21.646,0.0,159.786,743.890
20,Ají tabasco ,Guaviare,953.0,90.859,66.358,0.0,158.170,5.557.912
21,Ají tabasco ,Atlántico,41.351000000000006,74.964,37.543,0.0,153.858,331.159
22,Ají tabasco ,Boyacá,78.957,36.779,31.464000000000002,0.0,147.200,2.317.531
23,Ají tabasco ,Risaralda,56.507,50.363,9.404,0.0,116.274,356.035
24,Ají tabasco ,Nariño,52.518,42.216,8.079,0.0,102.813,3.149.751
25,Ají tabasco ,Quindío,62.12,9.549,3.9139999999999997,0.0,75.583,193.217
26,Ají tabasco ,Chocó,0.0,14.254,37.242,0.0,51.496,4.824.344
27,Ají tabasco ,Putumayo,0.0,1.545,18.823,0.0,20.368,2.584.632
28,Ají tabasco ,Guainía,0.0,736,2.755,0.0,3.491,7.140.386
29,Ají tabasco ,Amazonas,0.0,36,0.0,0.0,36,10.903.686
30,Ají tabasco ,San Andrés Providencia y Santa Catalina,0.0,0,0.0,0.0,0,4.972
31,Ají tabasco ,Vaupés,0.0,0,0.0,0.0,0,5.343.179
0,Algodón ,Tolima,236.595,48.744,4.85,0.0,290.189,2.415.020
1,Algodón ,Valle del Cauca,164.378,82.348,31.413,0.0,278.139,2.076.805
2,Algodón ,Santander,11.331,48.918,122.869,0.0,183.118,3.054.326
3,Algodón ,Huila,89.881,42.797,27.419,0.0,160.097,1.813.533
4,Algodón ,Cauca,30.616999999999997,29.522,44.309,0.0,104.448,3.125.130
5,Algodón ,Chocó,0.0,12.797,75.347,0.0,88.14399999999999,4.824.344
6,Algodón ,Norte de Santander,38.0,37.213,43.297,0.0,80.548,2.182.705
7,Algodón ,Cundinamarca,37.296,6.539,23.103,0.0,66.938,2.236.783
8,Algodón ,Nariño,252.0,3.9330000000000003,52.63399999999999,0.0,56.818999999999996,3.149.751
9,Algodón ,Caldas,10.615,22.893,13.63,0.0,47.138000000000005,743.890
10,Algodón ,Boyacá,0.0,19.855999999999998,12.186,0.0,32.042,2.317.531
11,Algodón ,Putumayo,0.0,0.0,27.008000000000003,0.0,27.008000000000003,2.584.632
12,Algodón ,Caquetá,0.0,0.0,7.42,0.0,7.42,9.010.823
13,Algodón ,Risaralda,1.273,3.2230000000000003,541.0,0.0,5.037,356.035
14,Algodón ,Arauca,0.0,101.0,2.517,0.0,2.6180000000000003,2.383.135
15,Algodón ,Amazonas,0.0,0.0,2.437,0.0,2.437,10.903.686
16,Algodón ,Quindío,0.0,34.0,196.0,0.0,230.0,193.217
17,Algodón ,Guainía,0.0,0.0,61.0,0.0,61.0,7.140.386
18,Algodón ,Cesar,2.0,3.0,4.0,0.0,9.0,2.256.550
19,Algodón ,Antioquia,0.0,0.0,9.0,0.0,9.0,6.296.299
20,Algodón ,Meta,0.0,1.0,8.0,0.0,9.0,8.555.025
21,Algodón ,Casanare,0.0,0.0,2.0,0.0,2.0,4.434.139
22,Algodón ,Sucre,0.0,0.0,0.0,0.0,0.0,1.071.860
23,Algodón ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
24,Algodón ,Guaviare,0.0,0.0,0.0,0.0,0.0,5.557.912
25,Algodón ,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
26,Algodón ,Vichada,0.0,0.0,0.0,0.0,0.0,10.008.757
27,Algodón ,Atlántico,0.0,0.0,0.0,0.0,0.0,331.159
28,Algodón ,Bolívar,0.0,0.0,0.0,0.0,0.0,2.665.496
29,Algodón ,Córdoba,0.0,0.0,0.0,0.0,0.0,2.499.858
30,Algodón ,La Guajira,0.0,0.0,0.0,0.0,0.0,2.061.936
31,Algodón ,Magdalena,0.0,0.0,0.0,0.0,0.0,2.314.438
0,Arroz ,Casanare,194.308,894.551,1.948.883,0.0,3.037.742,4.434.139
1,Arroz ,Vichada,0.0,35.734,2.285.235,0.0,2.320.969,10.008.757
2,Arroz ,Meta,790.471,530.137,914.119,0.0,2.234.727,8.555.025
3,Arroz ,Arauca,62.02,172.96400000000003,407.922,0.0,642.906,2.383.135
4,Arroz ,Córdoba,103.199,191.937,344.067,0.0,639.203,2.499.858
5,Arroz ,Antioquia,56.07899999999999,238.329,340.088,0.0,634.496,6.296.299
6,Arroz ,Caquetá,25.954,366.772,174.050,0.0,566.776,9.010.823
7,Arroz ,Magdalena,1.0,45.122,348.502,0.0,393.625,2.314.438
8,Arroz ,Cesar,119.38799999999999,98.64399999999999,114.577,0.0,332.609,2.256.550
9,Arroz ,Santander,42.293,119.92200000000001,108.631,0.0,270.846,3.054.326
10,Arroz ,Bolívar,13.952,50.685,165.463,0.0,230.100,2.665.496
11,Arroz ,Guaviare,0.0,21.515,194.282,0.0,215.797,5.557.912
12,Arroz ,Putumayo,3.13,64.99,112.829,0.0,180.949,2.584.632
13,Arroz ,Valle del Cauca,18.757,138.885,19.848,0.0,177.490,2.076.805
14,Arroz ,Sucre,46.155,33.771,67.424,0.0,147.350,1.071.860
15,Arroz ,Cauca,10.39,58.992,56.033,0.0,125.415,3.125.130
16,Arroz ,Huila,3.531,16.863,98.684,0.0,119.078,1.813.533
17,Arroz ,Nariño,30.294,61.544,21.092,0.0,112.930,3.149.751
18,Arroz ,Chocó,783.0,40.277,68.468,0.0,109.528,4.824.344
19,Arroz ,Norte de Santander,57.776,19.618,28.210,0.0,105.604,2.182.705
20,Arroz ,Tolima,25.808000000000003,44.995,31.700,0.0,102.503,2.415.020
21,Arroz ,Cundinamarca,31.267,9.464,27.845,0.0,68.576,2.236.783
22,Arroz ,Boyacá,7.722,18.128,15.576,0.0,41.426,2.317.531
23,Arroz ,Quindío,451.0,6.188,34.355,0.0,40.994,193.217
24,Arroz ,Caldas,8.682,20.945,11.087,0.0,40.714,743.890
25,Arroz ,Guainía,0.0,421.0,33.801,0.0,34.222,7.140.386
26,Arroz ,Vaupés,0.0,1.093,14.391,0.0,15.484,5.343.179
27,Arroz ,Amazonas,0.0,2.504,10.995,0.0,13.499,10.903.686
28,Arroz ,Risaralda,1.005,3.803,1.056,0.0,5.864,356.035
29,Arroz ,La Guajira,0.0,0.0,0,0.0,0,2.061.936
30,Arroz ,Atlántico,0.0,0.0,0,0.0,0,331.159
31,Arroz ,San Andrés Providencia y Santa Catalina,0.0,0.0,0,0.0,0,4.972
0,Banano ,Magdalena,60.297,106.905,669.7280000000001,0.0,836.93,2.314.438
1,Banano ,Córdoba,64.503,238.34900000000002,428.06800000000004,0.0,730.92,2.499.858
2,Banano ,Cesar,7.44,98.27600000000001,559.1569999999999,0.0,664.873,2.256.550
3,Banano ,Antioquia,146.626,53.555,143.763,0.0,343.944,6.296.299
4,Banano ,Sucre,20.343,95.7,202.637,0.0,318.68,1.071.860
5,Banano ,Bolívar,59.905,115.381,132.083,0.0,307.369,2.665.496
6,Banano ,Tolima,33.41,77.829,178.965,0.0,290.204,2.415.020
7,Banano ,Valle del Cauca,135.382,85.694,12.747,0.0,233.82299999999998,2.076.805
8,Banano ,Huila,3.554,12.559000000000001,157.71,0.0,173.82299999999998,1.813.533
9,Banano ,Atlántico,73.891,78.643,10.873,0.0,163.407,331.159
10,Banano ,Meta,0.0,18.622,137.02200000000002,0.0,155.644,8.555.025
11,Banano ,Santander,2.459,64.794,79.34899999999999,0.0,146.602,3.054.326
12,Banano ,La Guajira,8.726,36.75,91.75299999999999,0.0,137.22899999999998,2.061.936
13,Banano ,Chocó,1.703,73.471,11.686,0.0,86.86,4.824.344
14,Banano ,Norte de Santander,13.727,38.664,32.691,0.0,85.08200000000001,2.182.705
15,Banano ,Cauca,34.205,17.762,30.787,0.0,82.75399999999999,3.125.130
16,Banano ,Cundinamarca,512.0,5.983,62.638000000000005,0.0,69.133,2.236.783
17,Banano ,Casanare,0.0,2.807,57.181000000000004,0.0,59.988,4.434.139
18,Banano ,Nariño,0.0,27.046999999999997,23.86,0.0,50.907,3.149.751
19,Banano ,Caldas,12.878,25.6,10.895,0.0,49.373000000000005,743.890
20,Banano ,Quindío,19.587,17.717,44.0,0.0,37.348,193.217
21,Banano ,Putumayo,0.0,25.741,3.2319999999999998,0.0,28.973000000000003,2.584.632
22,Banano ,Boyacá,0.0,8.631,17.949,0.0,26.58,2.317.531
23,Banano ,Vichada,0.0,0.0,8.218,0.0,8.218,10.008.757
24,Banano ,Risaralda,4.441,862.0,234.0,0.0,5.537000000000001,356.035
25,Banano ,Caquetá,0.0,493.0,1.869,0.0,2.362,9.010.823
26,Banano ,Guainía,0.0,0.0,61.0,0.0,61.0,7.140.386
27,Banano ,Arauca,0.0,0.0,7.0,0.0,7.0,2.383.135
28,Banano ,Guaviare,0.0,0.0,6.0,0.0,6.0,5.557.912
29,Banano ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
30,Banano ,Amazonas,0.0,0.0,0.0,0.0,0.0,10.903.686
31,Banano ,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
0,Cacao ,Meta,1.260.383,900.055,507.36800000000005,0.0,2.667.806,8.555.025
1,Cacao ,Vichada,341.837,937.072,959.9989999999999,0.0,2.238.908,10.008.757
2,Cacao ,Antioquia,894.253,430.30400000000003,82.195,0.0,1.406.752,6.296.299
3,Cacao ,Córdoba,775.946,392.402,73.40100000000001,0.0,1.241.749,2.499.858
4,Cacao ,Caquetá,497.234,684.823,1.795,0.0,1.183.852,9.010.823
5,Cacao ,Santander,562.690,321.276,30.608,0.0,914.574,3.054.326
6,Cacao ,Tolima,375.781,238.579,44.428999999999995,0.0,658.789,2.415.020
7,Cacao ,Casanare,192.190,208.769,206.295,0.0,607.254,4.434.139
8,Cacao ,Cesar,261.835,238.356,68.689,0.0,568.880,2.256.550
9,Cacao ,Bolívar,268.082,198.64700000000002,76.58800000000001,0.0,543.317,2.665.496
10,Cacao ,Magdalena,147.569,192.407,103.917,0.0,443.893,2.314.438
11,Cacao ,Cundinamarca,161.214,195.283,67.192,0.0,423.689,2.236.783
12,Cacao ,Huila,214.137,150.101,26.428,0.0,390.666,1.813.533
13,Cacao ,Arauca,75.279,167.614,122.199,0.0,365.092,2.383.135
14,Cacao ,Sucre,206.208,94.024,44.077,0.0,344.309,1.071.860
15,Cacao ,Cauca,128.496,134.32299999999998,79.568,0.0,342.387,3.125.130
16,Cacao ,Putumayo,129.435,90.536,111.959,0.0,331.930,2.584.632
17,Cacao ,Norte de Santander,140.774,149.558,41.406000000000006,0.0,331.738,2.182.705
18,Cacao ,Valle del Cauca,200.850,96.978,25.85,0.0,323.678,2.076.805
19,Cacao ,Boyacá,52.790,80.385,103.656,0.0,236.831,2.317.531
20,Cacao ,Caldas,82.429,126.417,2.3569999999999998,0.0,211.203,743.890
21,Cacao ,Nariño,88.370,59.251999999999995,37.883,0.0,185.505,3.149.751
22,Cacao ,Guaviare,67.528,15.915,95.427,0.0,178.870,5.557.912
23,Cacao ,La Guajira,82.082,66.97800000000001,23.025,0.0,172.085,2.061.936
24,Cacao ,Chocó,7.653,42.078,90.087,0.0,139.818,4.824.344
25,Cacao ,Atlántico,8.995,62.096000000000004,60.461999999999996,0.0,131.553,331.159
26,Cacao ,Risaralda,33.549,44.115,633.0,0.0,78.297,356.035
27,Cacao ,Quindío,13.989,29.135,11.235,0.0,54.359,193.217
28,Cacao ,Amazonas,5.836,0.0,5.909,0.0,11.745,10.903.686
29,Cacao ,Guainía,0,0.0,10.849,0.0,10.849,7.140.386
30,Cacao ,Vaupés,278,6.1610000000000005,3.903,0.0,10.342,5.343.179
31,Cacao ,San Andrés Providencia y Santa Catalina,0,0.0,0.0,0.0,0,4.972
0,Caucho ,Meta,1.845.412,542.013,194.65,0.0,2.582.075,8.555.025
1,Caucho ,Vichada,1.366.596,825.607,14.511,0.0,2.206.714,10.008.757
2,Caucho ,Antioquia,664.185,619.8530000000001,143.615,0.0,1.427.653,6.296.299
3,Caucho ,Córdoba,744.625,361.435,102.93799999999999,0.0,1.208.998,2.499.858
4,Caucho ,Caquetá,540.397,510.583,104.646,0.0,1.155.626,9.010.823
5,Caucho ,Santander,532.644,276.921,92.03200000000001,0.0,901.597,3.054.326
6,Caucho ,Tolima,262.151,303.976,113.73200000000001,0.0,679.859,2.415.020
7,Caucho ,Cesar,255.706,262.48900000000003,80.855,0.0,599.050,2.256.550
8,Caucho ,Bolívar,207.445,161.238,139.115,0.0,507.798,2.665.496
9,Caucho ,Casanare,171.140,148.789,184.997,0.0,504.926,4.434.139
10,Caucho ,Magdalena,184.027,173.72299999999998,94.54,0.0,452.290,2.314.438
11,Caucho ,Cundinamarca,124.263,250.89,72.438,0.0,447.591,2.236.783
12,Caucho ,Huila,115.889,243.47,54.782,0.0,414.141,1.813.533
13,Caucho ,Arauca,67.804,165.942,126.904,0.0,360.650,2.383.135
14,Caucho ,Cauca,53.046,167.415,136.678,0.0,357.139,3.125.130
15,Caucho ,Sucre,165.393,115.205,59.363,0.0,339.961,1.071.860
16,Caucho ,Putumayo,695,48.131,275.34,0.0,324.166,2.584.632
17,Caucho ,Norte de Santander,78.357,90.439,88.14299999999999,0.0,256.939,2.182.705
18,Caucho ,Boyacá,80.773,49.513999999999996,103.495,0.0,233.782,2.317.531
19,Caucho ,Valle del Cauca,112.169,68.374,43.583,0.0,224.126,2.076.805
20,Caucho ,Caldas,62.566,111.67299999999999,41.855,0.0,216.094,743.890
21,Caucho ,Nariño,12.464,91.46600000000001,77.33,0.0,181.260,3.149.751
22,Caucho ,La Guajira,108.747,49.891999999999996,14.472999999999999,0.0,173.112,2.061.936
23,Caucho ,Guaviare,70.026,32.325,59.688,0.0,162.039,5.557.912
24,Caucho ,Atlántico,13.624,53.0,46.7,0.0,113.324,331.159
25,Caucho ,Chocó,1,16.262,88.594,0.0,104.857,4.824.344
26,Caucho ,Risaralda,13.765,41.341,24.046,0.0,79.152,356.035
27,Caucho ,Quindío,25.602,28.158,4.021,0.0,57.781,193.217
28,Caucho ,Amazonas,2.838,2.748,5.504,0.0,11.090,10.903.686
29,Caucho ,Vaupés,0,2.335,7.142,0.0,9.477,5.343.179
30,Caucho ,Guainía,0,0.0,6.933,0.0,6.933,7.140.386
31,Caucho ,San Andrés Providencia y Santa Catalina,0,0.0,0.0,0.0,0,4.972
0,Caña panelera ,Córdoba,58.483999999999995,570.492,875.457,0.0,1.504.433,2.499.858
1,Caña panelera ,Magdalena,14.703,255.476,859.346,0.0,1.129.525,2.314.438
2,Caña panelera ,Antioquia,447.869,363.222,302.274,0.0,1.113.365,6.296.299
3,Caña panelera ,Cesar,13.21,125.484,822.335,0.0,961.029,2.256.550
4,Caña panelera ,Tolima,198.635,283.631,352.551,0.0,834.817,2.415.020
5,Caña panelera ,Santander,174.725,186.203,353.522,0.0,714.450,3.054.326
6,Caña panelera ,Meta,7.178,230.058,409.504,0.0,646.740,8.555.025
7,Caña panelera ,Huila,153.415,224.34599999999998,215.535,0.0,593.296,1.813.533
8,Caña panelera ,Bolívar,3.43,120.088,466.217,0.0,589.735,2.665.496
9,Caña panelera ,Sucre,584.0,65.843,400.902,0.0,467.329,1.071.860
10,Caña panelera ,Cauca,322.347,93.88600000000001,41.35,0.0,457.583,3.125.130
11,Caña panelera ,Valle del Cauca,264.209,114.23899999999999,22.17,0.0,400.618,2.076.805
12,Caña panelera ,Cundinamarca,206.685,99.09299999999999,50.348,0.0,356.126,2.236.783
13,Caña panelera ,La Guajira,1.587,21.576999999999998,242.58,0.0,265.744,2.061.936
14,Caña panelera ,Norte de Santander,36.562,118.639,101.48100000000001,0.0,256.682,2.182.705
15,Caña panelera ,Caldas,199.725,29.579,26.785,0.0,256.089,743.890
16,Caña panelera ,Atlántico,0.0,34.879,173.418,0.0,208.297,331.159
17,Caña panelera ,Boyacá,44.588,59.917,89.67299999999999,0.0,194.178,2.317.531
18,Caña panelera ,Nariño,60.911,57.732,71.40899999999999,0.0,190.052,3.149.751
19,Caña panelera ,Casanare,4.637,69.17399999999999,69.525,0.0,143.336,4.434.139
20,Caña panelera ,Chocó,120.0,30.36,88.175,0.0,118.655,4.824.344
21,Caña panelera ,Risaralda,116.27,2.1430000000000002,222.0,0.0,118.635,356.035
22,Caña panelera ,Putumayo,79.0,19.718,75.055,0.0,94.852,2.584.632
23,Caña panelera ,Caquetá,9.074,19.54,53.558,0.0,82.172,9.010.823
24,Caña panelera ,Quindío,73.569,4.838,36.0,0.0,78.443,193.217
25,Caña panelera ,Vichada,0.0,972.0,40.037,0.0,41.009,10.008.757
26,Caña panelera ,Arauca,0.0,6.345,30.815,0.0,37.160,2.383.135
27,Caña panelera ,Guaviare,0.0,8.738999999999999,12.457,0.0,21.196,5.557.912
28,Caña panelera ,Vaupés,0.0,0.0,5.495,0.0,5.495,5.343.179
29,Caña panelera ,Guainía,0.0,107.0,0.0,0.0,107,7.140.386
30,Caña panelera ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0,4.972
31,Caña panelera ,Amazonas,0.0,0.0,0.0,0.0,0,10.903.686
0,Cebolla bulbo ,Meta,205.63,888.017,1.029.356,0.0,2.123.003,8.555.025
1,Cebolla bulbo ,Vichada,412.541,1.283.576,312.042,0.0,2.008.159,10.008.757
2,Cebolla bulbo ,Antioquia,448.34,616.432,440.128,0.0,1.504.900,6.296.299
3,Cebolla bulbo ,Santander,274.999,313.210,295.649,0.0,883.858,3.054.326
4,Cebolla bulbo ,Córdoba,180.104,261.913,410.786,0.0,852.803,2.499.858
5,Cebolla bulbo ,Cundinamarca,330.69300000000004,354.732,161.555,0.0,846.980,2.236.783
6,Cebolla bulbo ,Cesar,352.358,306.074,186.367,0.0,844.799,2.256.550
7,Cebolla bulbo ,Magdalena,203.06900000000002,239.369,353.205,0.0,795.643,2.314.438
8,Cebolla bulbo ,Cauca,245.077,279.789,183.028,0.0,707.894,3.125.130
9,Cebolla bulbo ,Tolima,169.793,228.074,275.432,0.0,673.299,2.415.020
10,Cebolla bulbo ,Bolívar,134.97,250.277,253.781,0.0,639.028,2.665.496
11,Cebolla bulbo ,Caquetá,182.543,316.922,57.464,0.0,556.929,9.010.823
12,Cebolla bulbo ,Huila,151.297,210.525,149.069,0.0,510.891,1.813.533
13,Cebolla bulbo ,Boyacá,185.84,216.311,91.357,0.0,493.508,2.317.531
14,Cebolla bulbo ,Casanare,176.429,105.469,210.014,0.0,491.912,4.434.139
15,Cebolla bulbo ,Arauca,34.346,76.514,281.898,0.0,392.758,2.383.135
16,Cebolla bulbo ,Nariño,110.598,149.435,86.140,0.0,346.173,3.149.751
17,Cebolla bulbo ,Sucre,206.46,71.566,52.793,0.0,330.819,1.071.860
18,Cebolla bulbo ,Norte de Santander,115.695,92.449,117.273,0.0,325.417,2.182.705
19,Cebolla bulbo ,Valle del Cauca,160.033,118.932,20.799,0.0,299.764,2.076.805
20,Cebolla bulbo ,Caldas,77.832,150.504,57.218,0.0,285.554,743.890
21,Cebolla bulbo ,Guaviare,352.0,22.420,162.303,0.0,185.075,5.557.912
22,Cebolla bulbo ,La Guajira,74.671,36.230,57.931,0.0,168.832,2.061.936
23,Cebolla bulbo ,Atlántico,24.18,67.472,65.788,0.0,157.440,331.159
24,Cebolla bulbo ,Risaralda,58.776,64.955,15.010,0.0,138.741,356.035
25,Cebolla bulbo ,Chocó,620.0,27.802,63.862,0.0,92.284,4.824.344
26,Cebolla bulbo ,Quindío,63.908,19.170,1.529,0.0,84.607,193.217
27,Cebolla bulbo ,Putumayo,11.985999999999999,5.797,45.213,0.0,62.996,2.584.632
28,Cebolla bulbo ,Guainía,0.0,933,10.206,0.0,11.139,7.140.386
29,Cebolla bulbo ,Amazonas,0.0,129,0,0.0,129,10.903.686
30,Cebolla bulbo ,Vaupés,0.0,0,0,0.0,0,5.343.179
31,Cebolla bulbo ,San Andrés Providencia y Santa Catalina,0.0,0,0,0.0,0,4.972
0,Fresa ,Cundinamarca,238.727,193.637,79.85,0.0,512.214,2.236.783
1,Fresa ,Antioquia,270.134,135.292,82.67399999999999,0.0,488.1,6.296.299
2,Fresa ,Cauca,109.37899999999999,166.826,153.391,0.0,429.596,3.125.130
3,Fresa ,Boyacá,153.49200000000002,165.863,76.471,0.0,395.82599999999996,2.317.531
4,Fresa ,Nariño,85.736,120.473,78.015,0.0,284.224,3.149.751
5,Fresa ,Santander,52.868,86.027,132.44,0.0,271.335,3.054.326
6,Fresa ,Huila,53.495,52.398999999999994,107.21,0.0,213.104,1.813.533
7,Fresa ,Tolima,6.382000000000001,51.351000000000006,90.461,0.0,148.194,2.415.020
