BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
66,66,"Mejoramiento de las capacidades productivas de 16 familias que forman parte del Resguardo de Tacueyó, mediante la implementación de cultivos de Pitahaya, Mora, Aguacate hass, Café, Tomate bajo invernadero y explotación de ganadería de leche, en los municipios de Toribío y Santander de Quilichao.",CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,13,3,13,410400000,N/A,410400000,189208102,599608102,51,1546,11/20/2017 12:00:00 AM,2016,N/A
67,67,"Restablecimiento de las actividades agropecuarias por parte de la comunidad campesina de la vereda Carrizal del municipio de Remedios hoy Zona Veredal Transitoria de Normalización, a través de la implementación de un proyecto productivo en horticultura, gallinas ponedoras y en el perfeccionamiento de la cadena productiva del arroz",ANTIOQUIA,REMEDIOS,51,20,31,24,269932220,N/A,269932220,558387768,828319988,55,156,03/07/2018 12:00:00 AM,2017,N/A
68,68,Más cacao más paz,CHOCO,"ALTO BAUDÓ, MEDIO BAUDÓ Y TADO",300,180,120,241,1500000000,N/A,1500000000,1632000000,3132000000,300,271,04/16/2018 12:00:00 AM,2017,N/A
69,69,"Fortalecer la productividad de 7 organizaciones lecheras en los municipios Cogua, Suesca, Lenguazaque, Guatavita, Ubaté, Silvania, San Francisco y 2 organizaciones de caña panelera de los municipios de Ninaima y Villeta en el departamento de Cundinamarca, mediante la adquisición de maquinaria agrícola y capacitaciones",CUNDINAMARCA,"COGUA, GUATAVITA, LENGUAZAQUE, NINAIMA, SAN FRANCISCO, SILVANIA, SUESCA, UBATÉ, VILLETA",227,172,55,8,1000000000,N/A,1000000000,3837098400,4837098400,246,244,04/11/2018 12:00:00 AM,2016,N/A
70,70,"Mejoramiento de la capacidad productiva acuícola mediante la producción superintensiva de carne de tilapia roja (Oreochromis sp) con sistema Ras y Biofloc en tanques de geomembrana, en el corregimiento de San Sebastián, municipio de Magangue, Bolívar",BOLIVAR,MAGANGUÉ,50,31,19,2,550000000,N/A,550000000,93798000,643798000,0,135,02/28/2018 12:00:00 AM,2016,N/A
72,72,Fortalecimiento de los sistemas productivos agropecuarios en los predios de los pequeños productores de ACAPRADIV como apoyo al proceso de sustitución de cultivos ilícitos en el municipio de Uribe Meta,META,URIBE,40,31,9,10,199980000,N/A,199980000,169528000,369508000,40,134,02/28/2018 12:00:00 AM,2016,N/A
73,73,"Fortalecimiento del sistema de ganadería doble propósito en familias pertenecientes a la Asociación ASOPROGUAVIARE, mediante la implementación de un modelo de ganadería sostenible en los municipios de San José del Guaviare, El Retorno y Calamar del departamento del Guaviare",GUAVIARE,"SAN JOSÉ DEL GUAVIARE, EL RETORNO, CALAMAR",152,53,99,48,1999872000,N/A,1999872000,402984199,2402856199,456,1540,11/17/2017 12:00:00 AM,2017,N/A
75,75,"Mejoramiento de las condiciones socioeconómicas de los comuneros pertenecientes a la Asociación de cabildos NASA CXHA CXHA, mediante el establecimiento de 17 sistemas ganaderos doble propósito y ceba.",CAUCA,"PÁEZ, BELALCÁZAR",86,67,19,7,1000000000,N/A,1000000000,322550000,1322550000,921,1542,11/17/2017 12:00:00 AM,2016,N/A
76,76,"Construcción e implementación de sistema de secado solar para el manejo de café especial de 41 pequeños productores pertenecientes a la Vereda la Bernarda del municipio de Guadalupe , departamento del Huila",HUILA,GUADALUPE,41,34,7,7,458236500,N/A,458236500,154319522,612556022,130,1601,12/06/2017 12:00:00 AM,2016,N/A
77,77,Siembra y producción y sostenimiento de cultivos de maíz y plátano para las comunidades indígenas de Quebrada Monte y El Salto y la producción de cerdos de ceba en la comunidad de Iguanero de la Zona No. 2 del resguardo Indígena Embera Katío del Alto Andágueda,CHOCO,BAGADÓ,72,55,17,12,278014950,N/A,278014950,134900000,412914950,55,212,03/23/2018 12:00:00 AM,2017,N/A
78,78,Desarrollo Agroindustrial Sostenible para el municipio de Angelópolis Antioquia - primera etapa,ANTIOQUIA,ANGELÓPOLIS,77,58,19,17,1383896258,N/A,1383896258,438574500,1822470758,44,204,03/23/2018 12:00:00 AM,2016,N/A
79,79,"Mejoramiento de las capacidades productivas mediante asistencia técnica específica, el establecimiento de 180 hectáreas de plátano y la dotación de insumos y herramientas a las asociaciones AGROBARCE, ASPROVIB, AGRIMAN, ASUCGUA y ASUCVICONT",CORDOBA,"LOS CÓRDOBAS, SAN BERNARDO, MOÑITOS",180,98,82,34,2000000000,N/A,2000000000,480800000,2480800000,180,203,03/23/2018 12:00:00 AM,2016,N/A
80,80,"Fortalecer la capacidad productiva y la generación de ingresos de (50) cincuenta pequeños productores del municipio de Aranzazu - Caldas, a través del establecimiento de 25 nuevas hectáreas de café, sembrado con el sistema de asocio de cultivos y el fortalecimiento de 25 hectáreas de café , para un total de 50 hectáreas intervenidas",CALDAS,ARANZÁZU,50,37,13,0,500000000,N/A,500000000,130250000,630250000,50,141,02/28/2018 12:00:00 AM,2016,N/A
81,81,"Fortalecer la capacidad productiva y la generación de ingresos de (50) cincuenta pequeños productores del municipio de Risaralda - Caldas, através del establecimiento de 25 nuevas hectáreas de café, sembrado con el sistema de asocio de cultivos y el fortalecimiento de 25 hectáreas de café, para un total de 50 hectáreas intervenidas",CALDAS,RISARALDA,50,41,9,10,500000000,N/A,500000000,130250000,630250000,50,206,03/23/2018 12:00:00 AM,2016,N/A
83,83,"Fortalecimiento de las capacidades productivas de 145 pequeños ganaderos, mediante un programa de mejoramiento genético de ganado bovino en los municipios de San Carlos y Ciénaga de Oro del departamento de Córdoba",CORDOBA,"SAN CARLOS, CIÉNAGA DE ORO",145,93,52,3,2000000000,N/A,2000000000,848811000,2848811000,508,241,04/11/2018 12:00:00 AM,2016,N/A
84,84,"Fortalecer las capacidades y los sistemas productivos de las familias pertenecientes a la asociación ACIESCA, mediante el establecimiento y comercialización de productos cultivados en la región costa pacífica municipio Timbiquí Cauca",CAUCA,TIMBIQUÍ,42,36,6,42,390000000,N/A,390000000,140300000,530300000,61,1586,12/01/2017 12:00:00 AM,2016,N/A
87,87,Apoyo integral para la generación de ingresos y el fortalecimiento organizacional de pequeños productores mediante el establecimiento de un galpón asociativo de gallinas de postura en el municipio de San Bernardo - Nariño,NARIÑO,SAN BERNARDO,35,0,35,9,532492961,N/A,532492961,70077400,602570361,0,110,02/15/2018 12:00:00 AM,2016,N/A
88,88,"Establecer, sostener y fortalecer las capacidades y sistemas productivos de 116 pequeños productores de cultivos de aguacate Hass, ají, granadilla, gulupa y maracuyá en 18 veredas del municipio de Pradera, departamento del Valle del Cauca",VALLE_DEL_CAUCA,PRADERA,116,75,41,33,1399982156,N/A,1399982156,270600000,1670582156,58,120,02/21/2018 12:00:00 AM,2016,N/A
89,89,"Una hectárea para la vida, una hectárea para la paz",ANTIOQUIA,ANDES,100,78,22,13,308754500,N/A,308754500,567300000,876054500,100,208,03/23/2018 12:00:00 AM,2016,N/A
90,90,"Fortalecimiento de las capacidades productivas asociativas y comerciales de 160 pequeños productores del municipio de Plato en el departamento del Magdalena, a través del establecimiento de 160 hectáreas de ñame espino tipo exportación",MAGDALENA,PLATO,160,128,32,65,1500000000,N/A,1500000000,336000000,1836000000,160,243,04/11/2018 12:00:00 AM,2017,N/A
91,91,"Establecimiento de 30 granjas avícolas para autosuficiencia alimentaria y generación de ingresos a través de la reproducción y comercialización de huevos semicriollos, de las mujeres pertenecientes a la Asociación GRUPO ASOCIATIVO CHAPOLERAS EMPRENDEDORAS ""La Laguna"" de el corregimiento de la Laguna - Municipio de Pitalito - Huila",HUILA,PITALITO,30,0,30,8,515154000,N/A,515154000,103950000,619104000,15,121,02/21/2018 12:00:00 AM,2016,N/A
92,92,"Mejoramiento de la productividad y rentabilidad de 40 unidades ganaderas doble propósito en el resguardo el Sande, municipio de Santa Cruz - departamento de Nariño",NARIÑO,SANTA CRUZ,40,23,17,18,1230482000,N/A,1230482000,652308000,1882790000,40,242,04/11/2018 12:00:00 AM,2016,N/A
93,93,"Fortalecimiento de la producción y transformación piscícola para la inclusión productiva en cuatro resguardos indígenas del pueblo de los Pastos, Departamento de Nariño",NARIÑO,"CÓRDOBA, CUMBAL, MALLAMA, GUACHUCAL",81,57,24,18,2470000000,N/A,2470000000,460300000,2930300000,1,496,07/09/2018 12:00:00 AM,2017,N/A
94,94,"Fortalecer el sistema productivo del café en el Resguardo Indígena El Gran Mallama, municipio de Mallama, departamento de Nariño",NARIÑO,MALLAMA,40,31,9,9,434216599,N/A,434216599,139320000,573536599,40,201,03/23/2018 12:00:00 AM,2016,N/A
96,96,"Shagra: Implementar procesos estratégicos en producción, tratamiento, pos-cosecha y comercialización para las líneas productivas de cebolla de rama(junca), fresa, arveja, lechuga y papa amarilla (criolla); para incrementar la competitividad, generar sostenibilidad y aumento en los índices de ingresos de 40 familias indígenas del municipio de Puerres - Nariño",NARIÑO,PUERRES,40,20,20,7,650000000,N/A,650000000,626363500,1276363500,28,119,02/21/2018 12:00:00 AM,2016,N/A
97,97,"Implementación de cultivos superintensivos de tilapia roja (Oreochromis sp) con tecnología biofloc (BFT) para la generación de ingresos a familias de pescadores de los municipios de Repelón, Manatí, Candelaria y Suán, en el departamento del Atlántico",ATLANTICO,"REPELÓN, MANATÍ, CANDELARIA, SUÁN",177,122,55,7,2000000000,N/A,2000000000,383424000,2383424000,1,245,04/11/2018 12:00:00 AM,2016,N/A
621,98,Fortalecimiento y consolidación de la apicultura como alternativa de promoción del desarrollo productivo en los Montes de María en el departamento de Bolívar,BOLIVAR,"CARMEN DE BOLÍVAR, SAN JACINTO",160,130,30,138,2000000000,N/A,2000000000,1075386667,3075386667,160,349,05/22/2018 12:00:00 AM,2016,N/A
100,100,"Fortalecer los rendimientos productivos y la generación de ingresos de 66 productores de plátano hartón a través de la transferencia de conocimiento y asistencia técnica en los municipios de Puerto Escondido, San Bernardo del Viento, en el departamento de Córdoba",CORDOBA,"PUERTO ESCONDIDO, SAN BERNARDO DEL VIENTO",66,36,30,13,999993000,N/A,999993000,122760000,1122753000,66,352,05/22/2018 12:00:00 AM,2017,N/A
101,101,"Aumentar la capacidad de siembra de plátano, fortaleciendo el impulso en la compra de maquinaria agrícola para la Asociación Red de Mujeres Comunales del departamento del Meta, del municipio de Fuente de Oro, departamento del Meta",META,FUENTE DE ORO,47,4,43,17,390795000,N/A,390795000,346040371,736835371,47,136,02/28/2018 12:00:00 AM,2016,N/A
102,102,Fortalecer el sistema productivo de mora (Rubus Glaucus Benth) en los resguardos de Yaramal e Ipiales del pueblo indígena de los Pastos,NARIÑO,IPIALES,32,21,11,3,500000000,N/A,500000000,106272000,606272000,16,140,02/28/2018 12:00:00 AM,2016,N/A
104,104,Mejoramiento de la producción porcícola realizada en el Resguardo Indígena de San Juan en el municipio de Ipiales - Nariño,NARIÑO,IPIALES,124,7,117,8,899942400,N/A,899942400,166748000,1066690400,0,200,03/23/2018 12:00:00 AM,2016,N/A
106,106,Fortalecimiento de los mercados campesinos del departamento del Quindío,QUINDIO,"ARMENIA, BUENAVISTA, CALARCÁ, CIRCASIA, CÓRDOBA, FILANDIA, GÉNOVA, LA TEBAIDA, MONTENEGRO, PIJAO, QUIMBAYA, SALENTO",234,119,115,47,298981600,N/A,298981600,301184400,600166000,0,211,03/23/2018 12:00:00 AM,2016,N/A
108,108,Fortalecimiento de la producción cafetera de la Asociación de Mujeres Cafeteras del Centro del Huila mediante sostenimiento de café y asistencia técnica,HUILA,"PITAL, EL AGRADO",27,0,27,1,353046000,N/A,353046000,115290000,468336000,27,207,03/23/2018 12:00:00 AM,2017,N/A
109,109,"Fortalecimiento de la cadena de frío en la producción de leche para beneficio de 30 familias de los municipios de Iza, Sogamoso, Firavitoba y Tota del departamento de Boyacá",BOYACA,IZA,30,21,9,0,201110000,N/A,201110000,149370000,350480000,1,202,03/23/2018 12:00:00 AM,2017,N/A
111,111,"Fortalecimiento de la actividad ganadera de pequeños productores de los municipios de Ariguaní, Nueva Granada, Sabanas de San Angel, Chibolo, Plato, Tenerife del departamento del Magdalena",MAGDALENA,"ARIGUANÍ, NUEVA GRANADA, SÁBANAS DE SAN ANGEL, CHIBOLO, PLATO, TENERIFE",125,102,23,70,1999899000,N/A,1999899000,376898910,2376797910,500,109,02/15/2018 12:00:00 AM,2017,N/A
693,112,"Fortalecer las capacidades productivas y asociativas mediante la implementación de 291 hectáreas de Aguacate Hass, beneficiando a pequeños productores de los municipios de Aguadas, Salamina, Manzanares, Pensilvania, Merced y Supia, Departamento de Caldas.",CALDAS,"AGUADAS, SALAMINA, MANZANARES, PENSILVANIA, MERCED, SUPÍA",291,240,51,105,1499984371,N/A,1499984371,166700718,1666685089,291,132,02/28/2018 12:00:00 AM,2016,N/A
113,113,Formento de la actividad ganadera como alternativa de generación de ingresos de pequeños productores en los municipios de Bosconia y el Copey  en el departamento del Cesár,CESAR,"BOSCONIA, EL COPEY",83,53,30,23,1150000000,N/A,1150000000,1533463993,2683463993,415,138,02/28/2018 12:00:00 AM,2017,N/A
114,114,"Construcción e implementación de sistema de secado solar para el manejo de café de 35 pequeños productores cafeteros del municipio de Rivera, departamento del Huila",HUILA,RIVERA,35,27,8,4,362280400,N/A,362280400,105972405,468252805,70,343,05/22/2018 12:00:00 AM,2017,N/A
116,116,Fortalecimiento al sector agroempresarial y al emprendimiento rural para el desarrollo agroindustrial de 10 municipios del Quindío.,QUINDIO,"ARMENIA, BUENAVISTA, CALARCÁ, CIRCASIA, CÓRDOBA, GÉNOVA, LA TEBAIDA, MONTENEGRO, PIJAO, QUIMBAYA, FILANDIA, SALENTO",211,121,90,39,691486747,N/A,691486747,583974464,1275461211,36,210,03/23/2018 12:00:00 AM,2016,N/A
117,117,"Construcción e implementación de sistema de secado solar para el manejo de café especial de 41 pequeños productores pertenecientes a la Asociación de cafeteros ""El desarrollo"" del municipio de Gigante, departamento del Huila",HUILA,GIGANTE,41,31,10,5,412121840,N/A,412121840,82612500,494734340,82,347,05/22/2018 12:00:00 AM,2017,N/A
118,118,"Fortalecer la producción de 156 productores de aguacate en los municipios de Manzanares, Aguadas y Samaná, departamento de Caldas, como diversificación de la vocación cafetera y el mejoramiento del nivel de ingreso de los productores",CALDAS,"MANZANARES, AGUADAS, SAMANÁ",156,121,35,75,1972185600,N/A,1972185600,422136000,2394321600,156,108,02/15/2018 12:00:00 AM,2017,N/A
119,119,"Fortalecer las capacidades técnicas, socio-empresariales y ambientales de 87 pequeños productores de granadilla en el municipio de Ancuyá, departamento de Nariño.",NARIÑO,ANCUYA,87,72,15,11,868027011,N/A,868027011,716662200,1584689211,7,106,02/15/2018 12:00:00 AM,2016,N/A
120,120,Fortalecimiento Integral de la cadena de valor de los cafés especiales en el departamento de Nariño,NARIÑO,"SAMANIEGO, LA FLORIDA, FUNES, LA LLANADA, LINARES, ANCUYÁ, CONSACÁ, CHACHAGUÍ, SAN LORENZO, LA UNIÓN, SAN PABLO, TABLÓN DE GÓMEZ, SAN JOSÉ DE ALBÁN, SAN BERNARDO, BELÉN, LA CRUZ, BUESACO",740,529,211,169,2100016000,N/A,2100016000,1968400000,4068416000,740,199,03/23/2018 12:00:00 AM,2016,N/A
123,123,"Implementar la cadena productiva de tomate de mesa, para 62 familias productoras de los municipios de Puerres y Guaitarilla, en el departamento de Nariño",NARIÑO,PUERRES Y GUAITARILLA,62,43,19,10,1380752000,N/A,1380752000,430716000,1811468000,6,548,07/17/2018 12:00:00 AM,2017,N/A
124,124,Mejorar las capacidades productivas y generación de ingresos a pequeños productores rurales a través del cultivo de plátano hartón dominíco en el municipio de Clemencia Bolívar,BOLIVAR,CLEMENCIA,200,179,21,45,2000000000,N/A,2000000000,575750000,2575750000,200,139,02/28/2018 12:00:00 AM,2017,N/A
125,125,"Fortalecer la producción ganadera mediante la provisión de insumos agropecuarios para los usuarios de la Asociación de Productores Lácteos y Agropecuarios del Sur del Tolima APROSURT, ubicados en los municipios de Rioblanco, Chaparral, San Antonio y Roncesvalles",TOLIMA,"CHAPARRAL, RIOBLANCO, RONCESVALLES, SAN ANTONIO",95,71,24,25,299302000,N/A,299302000,188366200,487668200,190,529,07/12/2018 12:00:00 AM,2016,N/A
471,127,Mejorar los procesos productivos y de comercialización láctea mediante la renovación de praderas y la dotación de equipos e insumos a 163 pequeños ganaderos del municipio de Mahates y San Jacinto del departamento de Bolívar,BOLIVAR,"MAHATES, SAN JACINTO",163,137,26,66,2000000000,N/A,2000000000,337410000,2337410000,326,240,04/11/2018 12:00:00 AM,2016,N/A
129,129,Fortalecimiento de las capacidades productivas de la Asociación Café Especial Salomón mediante la dotación de equipos para el proceso de transformación primaria y secundaria de café,HUILA,PITALITO,70,49,21,9,232852000,N/A,232852000,1225999000,1458851000,141,205,03/23/2018 12:00:00 AM,2017,N/A
130,130,"Mejorar la productividad y calidad de leche y carne y la capacidad de generación de ingresos de la ganadería, mediante la realización de actividades de asistencia técnica, enfocadas a la aplicación de buenas prácticas ganaderas - BPG, alimentación y nutrición animal con énfasis en manejo de praderas y conservación de forrajes a 196 pequeños y  medianos productores de los municipios de la Celia, Santa Rosa de Cabal, Santuario, Apia, Quinchia y Guatica del departamento de Risaralda",RISARALDA,"LA CELIA, SANTA ROSA DE CABAL, SANTUARIO, APÍA, QUINCHÍA, GUATICA",196,164,32,38,1999978494,N/A,1999978494,501727680,2501706174,2249,607,08/01/2018 12:00:00 AM,2017,N/A
131,131,"Fortalecimiento de las capacidades técnicas y productivas a través de asistencia técnica, establecimiento y sostenimiento de los cultivos de aguacate Hass en asociado con hortalizas de hoja, beneficiando a pequeños productores del departamento de Cundinamarca",CUNDINAMARCA,"TOPAIPÍ, PACHO, SAN ANTONIO DE TEQUENDAMA, CABRERA, CHOACHÍ, GAMA, GACHALÁ, GACHETÁ, PANDI, PASCA, FOSCA, FUSAGASUGÁ, EL COLEGIO",170,121,49,23,2479938287,N/A,2479938287,912830408,3392768695,170,632,08/06/2018 12:00:00 AM,2017,N/A
132,132,"Fortalecimiento de las capacidades productivas a 148 pequeños productores mediante la producción de cacao asociado con plátano, en los municipios de Acacías, Restrepo, Guamal, Cabuyaro, Puerto López, Vista Hermosa, El Dorado y El Castillo, en el departamento del Meta",META,"ACACÍAS, RESTREPO, CUMARAL, GUAMAL, CABUYARO, PUERTO LÓPEZ",148,87,61,62,1476660080,N/A,1476660080,489288000,1965948080,148,270,04/16/2018 12:00:00 AM,2017,N/A
133,133,"Implementar ciento veintiocho (128) hectáreas de naranja tangelo minneola con sistema de fertirrigación por goteo, con cosecha de agua lluvia para pequeños productores de los municipios de Curití, Cabrera y Galán del departamento de Santander",SANTANDER,"CURITÍ, CABRERA, JORDÁN, CEPITA, GALÁN",128,95,33,8,2000000000,N/A,2000000000,391568000,2391568000,128,498,07/09/2018 12:00:00 AM,2017,N/A
134,134,Establecimiento de 10 hectáreas de cultivo de caña panelera y adecuación de 2 trapiches para incrementar la productividad en el municipio del Litoral del San Juan - Chocó (Resguardos indígenas de las comunidades de Taparalito y Pichima Quebrada),CHOCO,LITORAL DEL SAN JUAN,20,20,0,20,137396400,N/A,137396400,59584000,196980400,10,348,05/22/2018 12:00:00 AM,2017,N/A
135,135,Mejorar la capacidad productiva y asociativa a pequeños productores ganaderos mediante el mejoramiento de las condiciones nutricionales del hato doble propósito de 99 familias en los municipios de Toledo y la Esperanza - departamento de Norte de Santander,N_DE_SANTANDER,"TOLEDO, LA ESPERANZA",99,83,16,24,1000000000,N/A,1000000000,197600000,1197600000,198,344,05/22/2018 12:00:00 AM,2016,N/A
136,136,"Siembra, sostenimiento y producción de cultivos de maíz y plátano en las comunidades de Alto Jarando y Alto Andiado respectivamente y la producción de cerdos en ceba en la comunidad de Cevede del resguardo indígena Embera Katío del Alto Andágueda zona 1",CHOCO,BAGADÓ,127,115,12,118,336281247,N/A,336281247,184327940,520609187,26,246,04/11/2018 12:00:00 AM,2017,N/A
137,137,"Implementación de cultivos superintensivos de tilapia roja (Oreochromis sp) con tecnología biofloc (BFT) para la generación de ingresos a familias de pescadores de los municipios de Zona Bananera, El Retén, El Peñón y Concorodia en el departamento del Magdalena",MAGDALENA,"ZONA BANANERA, EL RETÉN, EL PEÑÓN, CONCORDIA",196,150,46,112,2000000000,N/A,2000000000,383424000,2383424000,1,209,03/23/2018 12:00:00 AM,2017,N/A
140,140,"Siembra, sostenimiento y producción de cultivos de maíz para la comunidad Alto Brisas; plátano para la comunidad de Alto Moindó y producción de ganado en la comunidad de Cascajero, las cuales hacen parte de la zona 4 del resguardo indígena Embera Katío del Alto Andágueda",CHOCO,BAGADÓ,124,96,28,105,418498400,N/A,418498400,120116000,538614400,143,299,05/03/2018 12:00:00 AM,2017,N/A
142,142,"Construcción e implementación de sistema de secado solar para el manejo de café especial de 53 pequeños productores cafeteros del municipio de Íquira, departamento del Huila",HUILA,ÍQUIRA,53,43,10,9,375495000,N/A,375495000,78145000,453640000,80,298,05/03/2018 12:00:00 AM,2017,N/A
143,143,"Fortalecimiento de las capacidades productivas y organizacionales de pequeños productores rurales, mediante el fortalecimiento de 93 hectáreas de plátano hartón en el municipio de Montería, departamento de Córdoba",CORDOBA,MONTERÍA,93,65,28,37,1000000000,N/A,1000000000,314340000,1314340000,93,346,05/22/2018 12:00:00 AM,2017,N/A
144,144,"Apoyo al mejoramiento de la competitividad y productividad de 92 familias productoras de la Asociación ""Fructioriguejar"" a través del sostenimiento y la comercialización de 92 hectáreas de guayaba y pera; involucrando el acceso a insumos, equipos y acompañamiento técnico en el municipio de Lejanías departamento del Meta",META,LEJANÍAS,92,62,30,44,669701000,N/A,669701000,342855000,1012556000,92,350,05/22/2018 12:00:00 AM,2017,N/A
