BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
145,145,Fortalecer las capacidades productivas de familias cafeteras en los municipios de Fredonia y Montebello en el departamento de Antioquia,ANTIOQUIA,"FREDONIA, MONTEBELLO",68,43,25,19,627047500,N/A,627047500,263051200,890098700,51,790,09/25/2018 12:00:00 AM,2017,N/A
146,146,Fortalecimiento de unidades productivas de cerdos de engorde para familias víctimas - afrodescendientes del conflicto armado en el corregimiento de Guacoche - Valledupar y pequeños productores en el municipio de San Diego - Cesár,CESAR,"VALLEDUPAR, SAN DIEGO",214,140,74,187,2500000000,N/A,2500000000,295500000,2795500000,214,499,07/09/2018 12:00:00 AM,2016,N/A
147,147,Incrementar la producción de los cultivos de plátano asociados a café y las capacidades técnicas de 30 familias del municipio de Líbano en el departamento del Tolima,TOLIMA,LÍBANO,30,19,11,15,200000000,N/A,200000000,106200000,306200000,60,354,05/23/2018 12:00:00 AM,2017,N/A
148,148,"Fortalecer las capacidades productivas de pequeños productores de maíz de los municipios de San Juan de Nepomuceno y San Jacinto en los Montes de María, departamento de Bolívar",BOLIVAR,"SAN JACINTO, SAN JUAN NEPOMUCENO",205,205,0,182,1979133000,N/A,1979133000,445252000,2424385000,820,505,07/09/2018 12:00:00 AM,2017,N/A
149,149,"Fortalecimiento de las capacidades productivas de 19 asociaciones de pequeños productores, mediante la dotación de bancos de maquinaria y equipos, para la producción de papa en el departamento de Boyacá",BOYACA,"CÓMBITA, BELÉN, TUTAZÁ, VENTAQUEMADA, TUNJA, SORACÁ, TURMEQUÉ, TOCA, VIRACACHA, MOTAVITA, GUICAN, ÚMBITA, TUTA, SIACHOQUE, SAMACÁ, AQUITANIA, CUCAITA",347,278,69,0,3618584000,N/A,3618584000,1455284620,5073868620,270,456,06/19/2018 12:00:00 AM,2017,N/A
150,150,Generar alternativas de producción para 94 pequeños productores del municipio de El Guamo Bolívar a través de la siembra de igual número de hectáreas de plátano,BOLÍVAR,EL GUAMO,94,84,10,38,977966000,N/A,977966000,282000000,1259966000,94,8,01/09/2020 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
151,151,"Construcción e implementación del sistema de secado solar para el manejo de café especial de 55 pequeños productores cafeteros del municipio de Acevedo, departamento del Huila",HUILA,ACEVEDO,55,38,17,5,392075000,N/A,392075000,80075000,472150000,83,345,05/22/2018 12:00:00 AM,2017,N/A
152,152,Fortalecimiento a los procesos productivos del sector lácteo a través de la dotación de maquinaria agrícola (tractores) en 29 asociaciones legalmente constituidas del departamento de Boyacá,BOYACA,"ARCABUCO, BELÉN, CALDAS, CERINZA, CHIQUINQUIRÁ, CHISCAS, CIÉNAGA, DUITAMA, EL ESPINO, JENESANO, MOTAVITA, PUERTO BOYACÁ, SABOYÁ, SAMACÁ, SAN MIGUEL DE SEMA, SOTAQUIRÁ, SORACÁ, TUTA, TUNJA, UMBITA, VENTAQUEMADA, PAIPA, SIACHOQUE, TUTAZÁ, SANTA ROSA DE VITERBO",222,141,81,3,3198890000,N/A,3198890000,2228006270,5426896270,1345,634,08/06/2018 12:00:00 AM,2017,N/A
153,153,"Fortalecer y optimizar la cadena de caña panelera, mediante el sostenimiento técnico y agroforestal del cultivo, e implementación de sistemas de recirculación térmica para 30 hornillas de pequeños productores de los municipios de Guaduas, Bituima, Villeta, Sasaima, Quebrada Negra y Caparrapí, del departamento de Cundinamarca",CUNDINAMARCA,"GUADUAS, BITUIMA, VILLETA, SASAIMA, QUEBRADA NEGRA Y CAPARRAPÍ",191,152,39,25,2326561000,N/A,2326561000,995625000,3322186000,191,577,07/24/2018 12:00:00 AM,2017,N/A
154,154,"Fortalecimiento de la productividad y competitividad de los pequeños y medianos productores de ganado doble propósito de los municipios de: Tablón de Gómez, La Llanada, Puerres e Imues, departamento de Nariño",NARIÑO,"TABLÓN DE GÓMEZ, LA LLANADA, PUERRES E IMUES",160,120,40,44,1700000000,N/A,1700000000,1329600000,3029600000,160,497,07/09/2018 12:00:00 AM,2017,N/A
155,155,"Fortalecimiento de pesca artesanal como renglón productivo en el municipio de Tumaco, Francisco Pizarro y Mosquera (Nariño), mediante el apoyo a cuatro (4) asociaciones de pescadores artesanales a través de : la estructuración organizacional de las asociaciones y de la transferencia de tecnología en diferentes eslabones de la cadena productiva de la actividad pesquera",NARIÑO,"TUMACO, FRANCISCO PIZARRO Y MOSQUERA",100,86,14,56,1600147080,N/A,1600147080,378363020,1978510100,0,404,06/07/2018 12:00:00 AM,2016,N/A
156,156,"Mejoramiento de las capacidades productivas de pequeños productores cacaoteros pertenecientes a los municipios de Castilla La Nueva, El Castillo, El Dorado y Vista Hermosa, departamento del Meta; mediante el establecimiento de ochenta y siete (87) hectáreas de cacao en asocio con plátano hartón, entrega de insumos para el establecimiento del cultivo y dotación de equipos para su sostenimiento",META,"EL DORADO, EL CASTILLO, CASTILLA, LA NUVA, VISTA HERMOSA",87,54,33,43,906940020,N/A,906940020,264915000,1171855020,87,342,05/22/2018 12:00:00 AM,2017,N/A
157,157,"Mejoramiento del ingreso de los pequeños productores a través del desarrollo tecnificado de los cultivos de plátano hartón asociado con maíz amarillo en los municipios de Carmen de Bolívar, San Juan Nepomuceno y San Jacinto en el departamento de Bolívar",BOLIVAR,"CARMEN DE BOLÍVAR, SAN JUAN NEPOMUCENO Y SAN JACINTO",133,133,0,123,2143671000,N/A,2143671000,296640000,2440311000,119,543,07/17/2018 12:00:00 AM,2017,N/A
158,158,"Fortalecimiento de las capacidades productivas y socio organizacionales, mediante la implementación de un modelo de recolección de aguas lluvias y bombeo bajo sistema fotovoltaico, beneficiando a 68 pequeños productores de los municipios de Arauca y Cravo Norte",ARAUCA,"ARAUCA, CRAVO NORTE",68,41,27,22,1749975000,N/A,1749975000,640504000,2390479000,2312,606,08/01/2018 12:00:00 AM,2017,N/A
159,159,"Asistir técnicamente a la Asociación de Fruticultores del Dorado - ASOFRUD en buenas prácticas agrícolas como estrategia para el fortalecimiento diferencial y competitivo del sector cacaotero en el municipio de El Dorado, departamento del Meta",META,EL DORADO,71,40,31,37,500000000,N/A,500000000,140864000,640864000,142,341,05/22/2018 12:00:00 AM,2017,N/A
160,160,"Fortalecer la asociación de pescadores artesanales de Puerto Escondido La Unión mediante la dotación de equipos para la pesca en el municipio de Puerto Escondido, departamento de Córdoba",CORDOBA,PUERTO ESCONDIDO,85,75,10,18,380839790,N/A,380839790,272131936,652971726,543,547,07/17/2018 12:00:00 AM,2017,N/A
552,161,Construcción e implementación de sistema de secado solar para el manejor de café especial de 45 pequeños productores cafeteros del municipio de Neiva del departamento del Huila,HUILA,NEIVA,45,36,9,1,320175000,N/A,320175000,56233000,376408000,68,351,05/22/2018 12:00:00 AM,2017,N/A
559,162,"Mejorar la capacidad productiva y asociativa a pequeños productores ganaderos mediante el mejoramiento de las condiciones nutricionales del hato lechero de 49 beneficiarios del municipio de Zetaquirá, departamento de Boyacá",BOYACA,ZETAQUIRA,49,27,22,0,556970000,N/A,556970000,168520000,725490000,74,527,07/12/2018 12:00:00 AM,2017,N/A
163,163,"Siembra, producción y sostenimiento del cultivo de plátano (Musa paradisiaca) por mujeres rurales pertenecientes al consejo comunitario Pedeguita y Mancilla en el municipio de Riosucio en el departamento del Chocó",CHOCO,RIOSUCIO,40,2,38,31,729547396,N/A,729547396,334850000,1064397396,80,366,05/30/2018 12:00:00 AM,2017,N/A
165,165,"Siembra y establecimiento de cacao y plátano, en 30 hectáreas de las comunidades de Boa de Pepe y Querá; pertenecientes al Consejo Comunitario General del Río Baudó y sus afluentes ""ACABA"", municipio del Medio Baudó, departamento del Chocó",CHOCO,MEDIO BAUDÓ,30,18,12,15,249869700,N/A,249869700,159600000,409469700,30,590,07/26/2018 12:00:00 AM,2017,N/A
166,166,"Mejoramiento de la cadena productiva de leche, mediante la implementación de un modelo eficiente de manejo de los recursos locales para incrementar la competitividad de las fincas de las comunidades del Cabildo Mayor indígena Inga de Santiago y Cabildo Indígena de San Andrés, ubicados en el municipio de Santiago, departamento del Putumayo",PUTUMAYO,SANTIAGO,130,57,73,50,1500000000,N/A,1500000000,1429250000,2929250000,260,403,06/07/2018 12:00:00 AM,2017,N/A
167,167,Mejorar la productividad y el proceso de poscosecha de pequeños productores de café de la serranía del Perijá en el municipio de Fonseca departamento de la Guajira,LA_GUAJIRA,FONSECA,19,13,6,17,284477000,N/A,284477000,96780000,381257000,19,401,06/07/2018 12:00:00 AM,2017,N/A
168,168,"Fortalecimiento de la cadena productiva del maíz en el Distrito de Riego del RUT mediante la instalación de una planta de secado y almacenamiento en silos que beneficia a familias de ASORUT en los municipios de Roldanillo, La Unión y Toro del departamento del Valle del Cauca.",VALLE DEL CAUCA,"ROLDANILLO, LA UNIÓN, TORO",151,124,27,9,4510439997,N/A,4510439997,18170032752,22680472749,1501,622,09/09/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
169,169,"Fortalecer las capacidades productivas de las familias campesinas pertencientes a la asociación de pescadores ASOPEZTUC mediante la implementación de la explotación intensiva de tilapia roja (oreochromis s.p.) con tecnología Biofloc (BFT) en el municipio de Zona Bananera, departamento de Magdalena.",MAGDALENA,ZONA BANANERA,219,129,90,156,2662871920,"26,390,566",2689262486,299080000,2988342486,3,824,11/27/2019 12:00:00 AM,2019,ASISTENCIA Y EXTENSIÓN AGROPECUARIA
170,170,"Mejorar la productividad y competitividad de 177 pequeños productores de leche pertenecientes a 5 asociaciones de los municipios de Ipiales, Pupiales, Guachucal y Cumbal del departamento de Nariño",NARIÑO,"PUPIALES, CUMBAL, GUACHUCAL, IPIALES",177,94,83,8,1699994950,N/A,1699994950,2007256467,3707251417,425,758,09/19/2018 12:00:00 AM,2017,N/A
172,172,Mejoramiento genético integral a través de la inseminación artificial a tiempo fijo (IATF) en vientres bovinos doble propósito en predios de pequeños y medianos ganaderos en el departamento del Cesár,CESAR,"VALLEDUPAR, SAN DIEGO, BOSCONIA, ASTREA, EL PASO, LA PAZ, CHIRIGUANA, BECERRIL, CODAZZI Y EL COPEY",170,126,44,46,3000000000,N/A,3000000000,531600000,3531600000,2550,402,06/07/2018 12:00:00 AM,2017,N/A
173,173,"Fortalecer el sistema productivo agropecuario en la subregión del Bajo Cauca, mediante la implementación de un banco de maquinaria agrícola para pequeños y medianos productores de los municipios de Caucasia, Nechí y Tarazá del departamento de Antioquia",ANTIOQUIA,"CAUCASIA, NECHÍ, TARAZÁ",119,74,45,48,1300000000,N/A,1300000000,285456000,1585456000,48,633,08/06/2018 12:00:00 AM,2017,N/A
174,174,"Contribuir al fortalecimiento de la cadena productiva de la panela de 100 productores, ubicados en el municipio de Supía, mediante la dotación de paquetes tecnológicos productivos, comerciales y asociativos",CALDAS,SUPÍA,100,80,20,6,600000000,N/A,600000000,249750000,849750000,100,603,08/01/2018 12:00:00 AM,2017,N/A
175,175,"Fortalecimiento de la cadena de frío y aumento en la producción de leche bovina de calidad, para beneficiar a 40 pequeñas familias campesinas en el municipio de Páez, departamento de Boyacá",BOYACA,PÁEZ,40,31,9,0,489677520,N/A,489677520,229332103,719009623,52,604,08/01/2018 12:00:00 AM,2017,N/A
178,178,"Mejoramiento de las condiciones socioeconómicas de pequeños y medianos productores de caña de azúcar en el municipio de Vergara, Nocaima y Ninaima - departamento de Cundinamarca, mediante el establecimiento, sostenimiento y dotación de herramientas para la producción y comercialización de panela pulverizada",CUNDINAMARCA,"VERGARA, NOCAIMA, NINAIMA",99,72,27,17,1413546859,N/A,1413546859,294665000,1708211859,99,528,07/12/2018 12:00:00 AM,2017,N/A
179,179,"Mejorar la capacidad productiva en las fases de cría, levante y engorde de ovinos de pelo en beneficio de 32 familias pertenecientes a la Asociación de Usuarios Campesinos de Pacho Cundinamarca",CUNDINAMARCA,PACHO,32,17,15,6,401273590,N/A,401273590,129290800,530564390,5,508,07/09/2018 12:00:00 AM,2017,N/A
307,181,"Construcción e implementación de sistema de secado soar para el manejo de café de pequeños productores cafeteros de la Asociación Agropecuaria Holanda, municipio de Pitalito - Huila",HUILA,PITALITO,60,47,13,6,500057000,N/A,500057000,95908000,595965000,90,506,07/09/2018 12:00:00 AM,2017,N/A
308,182,"Implementación de sistemas productivos agrícolas en las comunidades indígenas de Quina Quina, Santa Helena Tiposo, Camuti y nueva reforma de la zona UDIC del municipio de Mitú",VAUPES,MITÚ,50,50,0,7,461961900,N/A,461961900,162681604,624643504,50,602,08/01/2018 12:00:00 AM,2017,N/A
309,183,Establecimiento de 134 hectáreas de Achiote (Bixa Orellana) con asistencia técnica integral para la obtención de semilla; participando con 67 familias campesinas pertenecientes a los municipios de Puerto López y Puerto Gaitán del departamento del Meta,META,"PUERTO LÓPEZ, PUERTO GAITÁN",67,40,27,32,806832814,N/A,806832814,164150000,970982814,156,578,07/24/2018 12:00:00 AM,2017,N/A
310,184,"Implementación de sistema para cría de tilapia roja (orochromis sp), en tanques de geomembrana con sistema RAS y BIOFLOC, en el municipio de Pore - Casanare",CASANARE,PORE,50,14,36,16,498366600,N/A,498366600,153759740,652126340,0,651,08/09/2018 12:00:00 AM,2017,N/A
311,185,"Articulación de esfuerzos administrativos, técnicos y financieros entre la Agencia de Desarrollo Rural, el municipio de Gutiérrez y la Fundación Colores de mi Tierra, para apoyar el desarrollo agropecuario y rural en la cadena de frijol en el municipio de Gutiérrez departamento de Cundinamarca",CUNDINAMARCA,GUTIÉRREZ,93,71,22,11,566214100,N/A,566214100,262245320,828459420,93,649,08/09/2018 12:00:00 AM,2017,N/A
312,186,Mejoramiento de la calidad y comercialización del café del municipio de Chaparral - Tolima,TOLIMA,CHAPARRAL,70,61,9,5,999998987,N/A,999998987,987085200,1987084187,70,504,07/09/2018 12:00:00 AM,2017,N/A
324,187,"Fortalecimiento a la producción integral y sostenible (ambiental, técnico, social y económicamente) de café, aplicando buenas prácticas agrícolas, de cosecha y pos cosecha de acuerdo con estándares de calidad nacional, a 46 familias del municipio del Tambo.",NARIÑO,EL TAMBO,46,41,5,14,552644900,"26,390,566",579035466,200205000,779240466,46,825,11/27/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
313,188,"Fortalecimiento de las capacidades productivas de frutales para pequeños productores en situación de vulnerabilidad, ubicados en 11 municipios del departamento del Cauca",CAUCA,"Argelia, Balboa, Bolívar, Buenos Aires, El Tambo, Florencia, Mercaderes, Patía, Popayán, Santander De Quilichao Y Sotará",390,252,138,120,2400747900,N/A,2400747900,1501941400,3902689300,390,576,07/24/2018 12:00:00 AM,2017,N/A
327,192,"Fortalecimiento al sector lácteo mediante la construcción de un centro de acopio, dotación con un medio de transporte, tanques para enfriamiento de leche y asistencia técnica beneficiando a los pequeños y medianos productores de los municipios de Herrán y Ragonvalia del departamento de Norte de Santander",NORTE DE SANTANDER,"HERRAN,
RAGONVALIA",146,93,53,20,1654263892,"26,390,566",1680654458,263155600,1943810058,1,827,11/27/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN
315,193,"Fortalecimiento de la producción apícola y comercialización de miel, para familias cafeteras de COOAGRONEVADA, a través del establecimiento de 550 unidades productivas apiarias, ubicadas en la Sierra nevada de Santa Marta, Magdalena",MAGDALENA,SANTA MARTA,55,35,20,34,300650000,N/A,300650000,98375000,399025000,9,601,08/01/2018 12:00:00 AM,2017,N/A
316,195,Repoblamiento bovino con novillas de vientre doble propósito en el departamento de Caquetá,CAQUETA,"BELÉN DE LOS ANDAQUÍES, SAN JOSÉ DEL FRAGUA, SOLITA, SAN VICENTE DEL CAGUÁN, LA MONTAÑITA, PUERTO RICO, EL DONCELLO Y VALPARAÍSO",136,113,23,32,2500000000,N/A,2500000000,636785000,3136785000,1370,503,07/09/2018 12:00:00 AM,2017,N/A
317,198,"Implementación de un cultivo de tilapia roja semi intensivo con oxigenación artificial en tanques de geomembranas con recambio de agua y bocachico en reservorios para beneficiar 102 familias ubicadas en 5 unidades productivas para los municipios de Toluviejo y Morroa, departamento de Sucre",SUCRE,"TOLUVIEJO, MORROA",102,56,46,92,1994420000,N/A,1994420000,293310000,2287730000,8,502,07/09/2018 12:00:00 AM,2017,N/A
318,200,"Fortalecimiento a los agricultores de los municipios de Samaná y Victoria Caldas, a través de la entrega de paquetes técnicos para mejorar los cultivos de café, caña, cacao y aguacate",CALDAS,"SAMANÁ, VICTORIA",353,280,73,328,999522000,N/A,999522000,529500000,1529022000,353,614,08/02/2018 12:00:00 AM,2017,N/A
319,202,"Fortalecimiento de los Sistemas Pecuarios de pequeños y medianos productores en los municipios de Ariguaní y el Banco en el departamento del Magdalena, mediante la implementación de un modelo de ganadería doble propósito",MAGDALENA,"ARIGUANÍ, EL BANCO",178,133,45,30,3122424900,N/A,3122424900,422084967,3544509867,1358,500,07/09/2018 12:00:00 AM,2016,N/A
320,204,"Fortalecimiento de la actividad cafetera en el municipio de la Unión, departamento de Nariño",NARIÑO,LA UNIÓN,100,68,32,11,529000000,N/A,529000000,446000000,975000000,100,507,07/09/2018 12:00:00 AM,2017,N/A
321,205,"Fortalecimiento del sistema de ganadería doble propósito en familias pertenecientes a la Corporación para el Fomento Social de Colombia Cofesco, mediante la implementación de un modelo de ganadería sostenible en el municipio de Puerto López en el departamento del Meta",META,PUERTO LÓPEZ,116,73,43,41,2299979884,N/A,2299979884,683647500,2983627384,500,639,08/06/2018 12:00:00 AM,2017,N/A
336,208,"Establecimiento de Alfalfa y dotación de maquinaria para su producción y transformación en harina como suplemento alimenticio pecuario, para mejorar los ingresos de los productores de la Asociación ASOALFASOCHA del municipio de Socha departamento de Boyacá",BOYACA,SOCHA,46,36,10,2,565360669,N/A,565360669,118737500,684098169,46,687,08/28/2018 12:00:00 AM,2017,N/A
763,209,Fortalecimiento de producción piscícola como apoyo a la generación de ingresos del resguardo indígena de Mayasquer,NARIÑO,Cumbal,40,31,9,9,781000000,"26,390,566",807390566,149400000,956790566,8,791,11/18/2019 12:00:00 AM,2019,TRANSVERSAL
322,210,"Establecimiento de 34 hectáreas de caña panelera, con 34 familias beneficiarias en el municipio de Uramita Antioquia",ANTIOQUIA,URAMITA,34,27,7,13,300000000,N/A,300000000,211140000,511140000,34,605,08/01/2018 12:00:00 AM,2017,N/A
323,211,"Fortalecimiento en el proceso de producción a través de la construcción de empacadoras, dotación de un kit de herramientas, equipos e insumos y asistencia técnica a 80 familias plataneras para el beneficio directo de 80 hectáreas de plátano hartón del pequeño productor del municipio de San Juan de Urabá antioqueño, mediante la generación de ingresos con enfoque territorial y desarrollo rural",ANTIOQUIA,SAN JUAN DE URABÁ,80,39,41,39,1510249410,N/A,1510249410,725888000,2236137410,80,544,07/17/2018 12:00:00 AM,2017,N/A
338,212,Fortalecimiento de la cadena productiva de papa mediante la entrega de maquinaria agrícola y equipo a 22 familias de pequeños productores pertenecientes a la Asociación ASOPAPS del municipio de Samacá - Boyacá,BOYACA,SAMACÁ,22,20,2,0,191645000,N/A,191645000,68271250,259916250,235,631,08/06/2018 12:00:00 AM,2017,N/A
339,213,"Fortalecimiento de sistemas productivos de ganadería doble propósito de pequeños y medianos productores de los municipios de Pivijay, Plato, Chivolo, Nueva Granada y Ariguaní en el departamento del Magdalena",MAGDALENA,"CHIVOLO, PLATO, NUEVA GRANADA Y ARIGUANÍ",178,115,63,60,3113242600,N/A,3113242600,568493967,3681736567,690,501,07/09/2018 12:00:00 AM,2017,N/A
341,215,"Fortalecimiento de las capacidades técnicas y productivas a través del desarrollo tecnificado de los cultivos de yuca dulce asociados con maíz, beneficiando a pequeños productores pertenecientes en los municipios San Fernando, Talaigua y Mompox en el departamento de Bolívar.",BOLIVAR,"SAN FERNANDO, TALAIGUA, MOMPOX",137,137,0,10,2400349786,N/A,2400349786,867210000,3267559786,540,637,08/06/2018 12:00:00 AM,2017,N/A
342,216,"Implementación de agronegocios hortifurtícolas intensivos con pequeños productores de los municipios de Urumita, La Jagua del Pilar y Villanueva en el departamento de La Guajira",LA_GUAJIRA,"URUMITA, VILLANUEVA Y LA JAGUA DEL PILAR",187,136,51,98,3010248182,N/A,3010248182,757350000,3767598182,47,573,07/24/2018 12:00:00 AM,2017,N/A
343,217,"Fortalecer integralmente a pequeños y medianos ganaderos de los municipios El Molino y Villanueva en la Guajira, mediante la implementación de sistemas productivos Silvopastoriles",LA_GUAJIRA,"MOLINO, VILLANUEVA",121,89,32,75,2472853290,N/A,2472853290,693330000,3166183290,1511,574,07/24/2018 12:00:00 AM,2017,N/A
345,219,"Fortalecimiento de las capacidades productivas y socio organizacionales, mediante la implementación de unidades productivas ovinas - caprinas a 25 familias campesinas en el corregimiento de Aguas Blancas, municipio de Valledupar en el departamento del Cesár",CESAR,VALLEDUPAR,25,23,2,18,300848000,N/A,300848000,47665000,348513000,19,635,08/06/2018 12:00:00 AM,2017,N/A
346,220,Establecimiento de 25 hectáreas para la siembra y comercialización de maracuyá como base sostenible para generar ingresos y mejorar la calidad de vida de 25 familias en los municipios de Tame y Fortul departamento de Arauca.,ARAUCA,"TAME, FORTUL",25,16,9,14,375523000,N/A,375523000,185194000,560717000,25,624,09/09/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
183,221,Fortalecimiento de la actividad agrícola en el municipio de Don Matías (Antioquia) a través del establecimiento de cultivos de aguacate Hass,ANTIOQUIA,DON MATÍAS,20,14,6,4,530010000,N/A,530010000,71400000,601410000,20,545,07/17/2018 12:00:00 AM,2017,N/A
